     Julian_days Year  Month  Day  Hours  Minutes  Seconds Raw_Obs Fit_tidal    Residual
	 60.000000 2011  3  1  0  0  0 5662.89485 5662.88318    0.01167  0.000
     60.010417 2011  3  1  0 15  0 5662.89885 5662.89103    0.00782  0.000
     60.020833 2011  3  1  0 30  0 5662.90985 5662.89823    0.01162  0.000
     60.031250 2011  3  1  0 45  0 5662.91885 5662.90543    0.01342  0.000
     60.041667 2011  3  1  1  0  0 5662.92485 5662.91263    0.01222  0.000
     60.052083 2011  3  1  1 15  0 5662.92985 5662.91852    0.01134  0.000
     60.062500 2011  3  1  1 30  0 5662.94085 5662.92375    0.01710  0.000
     60.072917 2011  3  1  1 45  0 5662.94685 5662.92833    0.01852  0.000
     60.083333 2011  3  1  2  0  0 5662.95085 5662.93226    0.01859  0.000
     60.093750 2011  3  1  2 15  0 5662.95084 5662.93422    0.01663  0.000
     60.104167 2011  3  1  2 30  0 5662.95185 5662.93553    0.01632  0.000
     60.114583 2011  3  1  2 45  0 5662.95084 5662.93487    0.01597  0.000
     60.125000 2011  3  1  3  0  0 5662.94485 5662.93291    0.01194  0.000
     60.135417 2011  3  1  3 15  0 5662.93984 5662.92898    0.01086  0.000
     60.145833 2011  3  1  3 30  0 5662.93184 5662.92375    0.00809  0.000
     60.156250 2011  3  1  3 45  0 5662.92285 5662.91590    0.00695  0.000
     60.166667 2011  3  1  4  0  0 5662.91284 5662.90543    0.00742  0.000
     60.177083 2011  3  1  4 15  0 5662.89885 5662.89300    0.00585  0.000
     60.187500 2011  3  1  4 30  0 5662.88685 5662.87795    0.00890  0.000
     60.197917 2011  3  1  4 45  0 5662.86884 5662.86028    0.00856  0.000
     60.208333 2011  3  1  5  0  0 5662.85084 5662.84000    0.01084  0.000
     60.218750 2011  3  1  5 15  0 5662.82884 5662.81776    0.01109  0.000
     60.229167 2011  3  1  5 30  0 5662.80284 5662.79289    0.00995  0.000
     60.239583 2011  3  1  5 45  0 5662.77584 5662.76541    0.01043  0.000
     60.250000 2011  3  1  6  0  0 5662.74984 5662.73662    0.01322  0.000
     60.260417 2011  3  1  6 15  0 5662.71884 5662.70587    0.01297  0.000
     60.270833 2011  3  1  6 30  0 5662.68584 5662.67381    0.01203  0.000
     60.281250 2011  3  1  6 45  0 5662.65284 5662.64044    0.01240  0.000
     60.291667 2011  3  1  7  0  0 5662.61584 5662.60642    0.00942  0.000
     60.302083 2011  3  1  7 15  0 5662.58184 5662.57240    0.00945  0.000
     60.312500 2011  3  1  7 30  0 5662.54683 5662.53772    0.00913  0.000
     60.322917 2011  3  1  7 45  0 5662.51484 5662.50434    0.01049  0.000
     60.333333 2011  3  1  8  0  0 5662.47884 5662.47098    0.00786  0.000
     60.343750 2011  3  1  8 15  0 5662.44784 5662.43957    0.00827  0.000
     60.354167 2011  3  1  8 30  0 5662.41884 5662.40947    0.00937  0.000
     60.364583 2011  3  1  8 45  0 5662.38983 5662.38134    0.00850  0.000
     60.375000 2011  3  1  9  0  0 5662.36183 5662.35517    0.00667  0.000
     60.385417 2011  3  1  9 15  0 5662.33883 5662.33161    0.00722  0.000
     60.395833 2011  3  1  9 30  0 5662.31583 5662.31067    0.00516  0.000
     60.406250 2011  3  1  9 45  0 5662.29883 5662.29301    0.00583  0.000
     60.416667 2011  3  1 10  0  0 5662.28383 5662.27796    0.00588  0.000
     60.427083 2011  3  1 10 15  0 5662.27183 5662.26684    0.00500  0.000
     60.437500 2011  3  1 10 30  0 5662.26383 5662.25898    0.00485  0.000
     60.447917 2011  3  1 10 45  0 5662.25783 5662.25506    0.00277  0.000
     60.458333 2011  3  1 11  0  0 5662.25983 5662.25441    0.00543  0.000
     60.468750 2011  3  1 11 15  0 5662.26083 5662.25768    0.00316  0.000
     60.479167 2011  3  1 11 30  0 5662.26583 5662.26487    0.00096  0.000
     60.489583 2011  3  1 11 45  0 5662.27683 5662.27599    0.00083  0.000
     60.500000 2011  3  1 12  0  0 5662.29183 5662.28974    0.00209  0.000
     60.510417 2011  3  1 12 15  0 5662.30883 5662.30740    0.00143  0.000
     60.520833 2011  3  1 12 30  0 5662.32883 5662.32768    0.00115  0.000
     60.531250 2011  3  1 12 45  0 5662.35083 5662.35059    0.00024  0.000
     60.541667 2011  3  1 13  0  0 5662.37483 5662.37611   -0.00127  0.000
     60.552083 2011  3  1 13 15  0 5662.40283 5662.40358   -0.00076  0.000
     60.562500 2011  3  1 13 30  0 5662.43183 5662.43303   -0.00120  0.000
     60.572917 2011  3  1 13 45  0 5662.46383 5662.46378    0.00005  0.000
     60.583333 2011  3  1 14  0  0 5662.49482 5662.49518   -0.00036  0.000
     60.593750 2011  3  1 14 15  0 5662.53083 5662.52790    0.00293  0.000
     60.604167 2011  3  1 14 30  0 5662.56482 5662.56127    0.00356  0.000
     60.614583 2011  3  1 14 45  0 5662.59782 5662.59464    0.00318  0.000
     60.625000 2011  3  1 15  0  0 5662.63083 5662.62801    0.00281  0.000
     60.635417 2011  3  1 15 15  0 5662.66482 5662.66072    0.00410  0.000
     60.645833 2011  3  1 15 30  0 5662.69783 5662.69278    0.00504  0.000
     60.656250 2011  3  1 15 45  0 5662.72583 5662.72353    0.00228  0.000
     60.666667 2011  3  1 16  0  0 5662.75382 5662.75232    0.00150  0.000
     60.677083 2011  3  1 16 15  0 5662.77482 5662.77981   -0.00498  0.000
     60.687500 2011  3  1 16 30  0 5662.79782 5662.80401   -0.00619  0.000
     60.697917 2011  3  1 16 45  0 5662.81582 5662.82626   -0.01044  0.000
     60.708333 2011  3  1 17  0  0 5662.83482 5662.84589   -0.01107  0.000
     60.718750 2011  3  1 17 15  0 5662.84882 5662.86224   -0.01343  0.000
     60.729167 2011  3  1 17 30  0 5662.86282 5662.87599   -0.01317  0.000
